"GEO_ID","NAME","POP"
"0500000US08115","Sedgwick County, Colorado","2747"
"0500000US08117","Summit County, Colorado","23548"
"0500000US08119","Teller County, Colorado","20555"
"0500000US08121","Washington County, Colorado","4926"
"0500000US08123","Weld County, Colorado","180936"
"0500000US08125","Yuma County, Colorado","9841"
"0500000US09001","Fairfield County, Connecticut","882567"
"0500000US09003","Hartford County, Connecticut","857183"
"0500000US09005","Litchfield County, Connecticut","182193"
"0500000US09007","Middlesex County, Connecticut","155071"
"0500000US09009","New Haven County, Connecticut","824008"
"0500000US09011","New London County, Connecticut","259088"
"0500000US09013","Tolland County, Connecticut","136364"
"0500000US09015","Windham County, Connecticut","109091"
"0500000US10001","Kent County, Delaware","126697"
"0500000US10003","New Castle County, Delaware","500265"
"0500000US10005","Sussex County, Delaware","156638"
"0500000US11001","District of Columbia, District of Columbia","572059"
"0500000US12001","Alachua County, Florida","217955"
"0500000US12003","Baker County, Florida","22259"
"0500000US12005","Bay County, Florida","148217"
"0500000US12007","Bradford County, Florida","26088"
"0500000US12009","Brevard County, Florida","476230"
"0500000US12011","Broward County, Florida","1623018"
"0500000US12013","Calhoun County, Florida","13017"
"0500000US12015","Charlotte County, Florida","141627"
"0500000US12017","Citrus County, Florida","118085"
"0500000US12019","Clay County, Florida","140814"
"0500000US12021","Collier County, Florida","251377"
"0500000US12023","Columbia County, Florida","56513"
"0500000US12027","DeSoto County, Florida","32209"
"0500000US12029","Dixie County, Florida","13827"
"0500000US12031","Duval County, Florida","778879"
"0500000US12033","Escambia County, Florida","294410"
"0500000US12035","Flagler County, Florida","49832"
"0500000US12037","Franklin County, Florida","11057"
"0500000US12039","Gadsden County, Florida","45087"
"0500000US12041","Gilchrist County, Florida","14437"
"0500000US12043","Glades County, Florida","10576"
"0500000US12045","Gulf County, Florida","13332"
"0500000US12047","Hamilton County, Florida","13327"
"0500000US12049","Hardee County, Florida","26938"
"0500000US12051","Hendry County, Florida","36210"
"0500000US12053","Hernando County, Florida","130802"
"0500000US12055","Highlands County, Florida","87366"
"0500000US12057","Hillsborough County, Florida","998948"
"0500000US12059","Holmes County, Florida","18564"
"0500000US12061","Indian River County, Florida","112947"
"0500000US12063","Jackson County, Florida","46755"
"0500000US12065","Jefferson County, Florida","12902"
"0500000US12067","Lafayette County, Florida","7022"
"0500000US12069","Lake County, Florida","210528"
"0500000US12071","Lee County, Florida","440888"
"0500000US12073","Leon County, Florida","239452"
"0500000US12075","Levy County, Florida","34450"
"0500000US12077","Liberty County, Florida","7021"
"0500000US12079","Madison County, Florida","18733"
"0500000US12081","Manatee County, Florida","264002"
"0500000US12083","Marion County, Florida","258916"
"0500000US12085","Martin County, Florida","126731"
"0500000US12086","Miami-Dade County, Florida","2253362"
"0500000US12087","Monroe County, Florida","79589"
"0500000US12089","Nassau County, Florida","57663"
"0500000US12091","Okaloosa County, Florida","170498"
"0500000US12093","Okeechobee County, Florida","35910"
"0500000US12095","Orange County, Florida","896344"
"0500000US12097","Osceola County, Florida","172493"
"0500000US12099","Palm Beach County, Florida","1131184"
"0500000US12101","Pasco County, Florida","344765"
"0500000US12103","Pinellas County, Florida","921482"
