state,county,reporting,dem,gop,lib,grn,una,oth
KY,Casey,100%,767,5482,121,28,40,0
KY,Christian,100%,7188,14108,474,120,179,0
KY,Clark,100%,4706,10710,453,121,203,0
KY,Clay,100%,752,5861,83,26,40,0
KY,Clinton,100%,547,3809,60,15,23,0
KY,Crittenden,100%,617,3290,76,17,36,0
KY,Cumberland,100%,459,2502,67,11,22,0
KY,Daviess,100%,14163,28907,1488,453,741,0
KY,Edmonson,100%,979,4135,77,20,28,0
KY,Elliott,100%,740,2000,67,19,21,0
KY,Estill,100%,1108,4236,129,30,35,0
KY,Fayette,100%,69776,56890,5230,1580,2636,0
KY,Fleming,100%,1348,4722,109,20,51,0
KY,Floyd,100%,4015,11993,357,56,100,0
KY,Franklin,100%,10717,11819,725,236,343,0
KY,Fulton,100%,774,1549,35,7,16,0
KY,Gallatin,100%,749,2443,100,18,24,0
KY,Garrard,100%,1453,5904,157,33,66,0
KY,Grant,100%,1910,7268,226,71,76,0
KY,Graves,100%,3308,12671,411,80,112,0
